Code	Name	Lat	Lon
366	ул. 3-я Тверская-Ямская, д.20, стр. 1	55.772581	37.596383
369	улица Фадеева, д.4	55.774292	37.599736
370	ул. 2-я Тверская-Ямская, д.54	55.775131	37.590094
382	2-я Брестская ул., д. 31	55.773158	37.585931
390	Гашека ул., д. 2, стр. 1	55.767778	37.587989
402	Б. Грузинская ул. д. 1 стр.2	55.760931	37.576606
432	Красная Пресня ул. д.31;	55.762431	37.563590
434	Мантулинская ул. д.2	55.756869	37.559078
435	Мантулинская ул. д.5 стр. 21	55.756097	37.551319
436	Краснопресненская набережная, д.12а	55.754196	37.559449
437	Краснопресненская набережная, д.14СООР1	55.748805	37.546129
438	Краснопресненская наб. д.16с1	55.751661	37.551733
452	7-й Ростовский переулок д.11 у выхода с моста	55.740347	37.572706
455	Плющиха ул. д.39	55.740264	37.576753
466	Зубовская площадь.3с1	55.738107	37.585594
470	Смоленская набережная, д.12	55.75175	37.57463
472	1905 года ул. д.4 стр.2	55.763789	37.561297
601	ул. Косыгина, около д. 2 - 4	55.708347	37.577367
602	ул. Косыгина, около д.8 с2	55.706706	37.564811
603	Площадь Джавахарлала Неру д.1	55.693169	37.535269
604	ул. Вавилова д.55/7	55.691564	37.562406
605	Нахимовский проспект д.46	55.678678	37.562050
606	Ленинский проспект д.73/8	55.688289	37.546697
608	Ленинский проспект д.9с3	55.724028	37.605469
687	Ленинский проспект д.69	55.690314	37.550828
710	Ленинский проспект 34/1	55.707025	37.578142
712	Ленинский проспект 54	55.697692	37.560842
714	Ленинский проспект д.66	55.691314	37.550158
960	Большая Дмитровка ул. д.2;	55.759165	37.616547
961	Большая Дмитровка ул. д.5/6с5;	55.759865	37.615807
